id,Name,TotalVotes,Percentage
8,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
8,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
8,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
8,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
8,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
8,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
9,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,77,41.18
9,SENAD BRATIĆ - POKRET DRŽAVA,51,27.27
9,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,28,14.97
9,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,15,8.02
9,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,11,5.88
9,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,1,0.53
9,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,1,0.53
9,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,1,0.53
9,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,1,0.53
9,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,1,0.53
9,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
9,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
9,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
9,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
9,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
9,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
9,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
9,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
9,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
9,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,0,0
9,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
9,NIKOLA SUVAJAC - NS,0,0
9,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
9,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
9,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
9,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
9,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
9,ALEN POPOVIĆ - NOVO DOBA,0,0
9,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,0,0
9,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
9,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
10,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,114,41.76
10,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,98,35.9
10,SENAD BRATIĆ - POKRET DRŽAVA,26,9.52
10,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,15,5.49
10,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,13,4.76
10,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,2,0.73
10,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,1,0.37
10,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,1,0.37
10,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,1,0.37
10,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,1,0.37
10,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.37
10,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
10,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
10,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,0,0
10,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
10,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
10,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
10,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
10,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
10,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
