id,Name,TotalVotes,Percentage
10,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
10,RADNIČKA PARTIJA,0,0
10,SAVEZ ZA NOVU POLITIKU,0,0
10,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
10,STRANKA ŽIVOT,0,0
10,SRPSKA NAPREDNA STRANKA FBIH,0,0
10,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
10,OTADŽBINSKA STRANKA,0,0
10,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
10,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
11,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,73,24.75
11,PDP - PARTIJA DEMOKRATSKOG PROGRESA,71,24.07
11,POKRET ZA DRŽAVU,53,17.97
11,SDS-SRPSKA DEMOKRATSKA STRANKA,38,12.88
11,ZA DRŽAVU BIH,13,4.41
11,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,12,4.07
11,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,12,4.07
11,DNS-DEMOKRATSKI NARODNI SAVEZ,9,3.05
11,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,5,1.69
11,PNP - POTKOZARSKI NARODNI POKRET,4,1.36
11,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,2,0.68
11,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,1,0.34
11,SELJAČKA STRANKA,1,0.34
11,UJEDINJENA SRPSKA,1,0.34
11,STRANKA ŽIVOT,0,0
11,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
11,RADNIČKA PARTIJA,0,0
11,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
11,OTADŽBINSKA STRANKA,0,0
11,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
11,SAVEZ ZA NOVU POLITIKU,0,0
11,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
11,DEMOKRATSKI SAVEZ-DEMOS,0,0
11,SLOBODNA STRANKA SRPSKE,0,0
11,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
11,SRPSKA NAPREDNA STRANKA FBIH,0,0
12,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,183,39.19
12,PDP - PARTIJA DEMOKRATSKOG PROGRESA,101,21.63
12,SDS-SRPSKA DEMOKRATSKA STRANKA,93,19.91
12,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,26,5.57
12,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,17,3.64
12,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,14,3
12,DNS-DEMOKRATSKI NARODNI SAVEZ,12,2.57
12,UJEDINJENA SRPSKA,9,1.93
12,DEMOKRATSKI SAVEZ-DEMOS,3,0.64
12,PNP - POTKOZARSKI NARODNI POKRET,2,0.43
12,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,2,0.43
12,RADNIČKA PARTIJA,1,0.21
12,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,1,0.21
12,POKRET ZA DRŽAVU,1,0.21
12,OTADŽBINSKA STRANKA,1,0.21
12,REPUBLIČKA STRANKA SRPSKE-RSS,1,0.21
12,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
12,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
12,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
12,ZA DRŽAVU BIH,0,0
12,SAVEZ ZA NOVU POLITIKU,0,0
12,STRANKA ŽIVOT,0,0
12,SELJAČKA STRANKA,0,0
12,SLOBODNA STRANKA SRPSKE,0,0
12,SRPSKA NAPREDNA STRANKA FBIH,0,0
12,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
13,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,130,29.41
13,PDP - PARTIJA DEMOKRATSKOG PROGRESA,123,27.83
13,DNS-DEMOKRATSKI NARODNI SAVEZ,49,11.09
13,SDS-SRPSKA DEMOKRATSKA STRANKA,45,10.18
13,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,24,5.43
13,UJEDINJENA SRPSKA,15,3.39
13,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,15,3.39
13,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,13,2.94
13,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,10,2.26
13,PNP - POTKOZARSKI NARODNI POKRET,7,1.58
13,POKRET ZA DRŽAVU,6,1.36
13,DEMOKRATSKI SAVEZ-DEMOS,4,0.9
13,SAVEZ ZA DEMOKRATSKU SRPSKU,1,0.23
13,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
13,STRANKA ŽIVOT,0,0
13,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
13,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
13,SRPSKA NAPREDNA STRANKA FBIH,0,0
13,SLOBODNA STRANKA SRPSKE,0,0
13,OTADŽBINSKA STRANKA,0,0
13,SAVEZ ZA NOVU POLITIKU,0,0
13,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
13,SELJAČKA STRANKA,0,0
13,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
13,ZA DRŽAVU BIH,0,0
13,RADNIČKA PARTIJA,0,0
15,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,28,68.29
15,PDP - PARTIJA DEMOKRATSKOG PROGRESA,7,17.07
15,SDS-SRPSKA DEMOKRATSKA STRANKA,4,9.76
15,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,2,4.88
15,UJEDINJENA SRPSKA,0,0
15,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
15,RADNIČKA PARTIJA,0,0
15,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,0,0
15,DNS-DEMOKRATSKI NARODNI SAVEZ,0,0
15,DEMOKRATSKI SAVEZ-DEMOS,0,0
15,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
15,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
15,SELJAČKA STRANKA,0,0
15,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
15,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
15,POKRET ZA DRŽAVU,0,0
15,ZA DRŽAVU BIH,0,0
15,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,0,0
15,SAVEZ ZA NOVU POLITIKU,0,0
15,STRANKA ŽIVOT,0,0
15,PNP - POTKOZARSKI NARODNI POKRET,0,0
15,SRPSKA NAPREDNA STRANKA FBIH,0,0
15,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
15,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
15,SLOBODNA STRANKA SRPSKE,0,0
15,OTADŽBINSKA STRANKA,0,0
